Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,177834,A T Still University of Health Sciences,1,Missouri Campus,1140,0,0,0
2001,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,170,0,0,0
2001,222178,Abilene Christian University,1,ACU-Abilene,4673,0,0,0
2001,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,2855,0,0,0
2001,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,2855,0,0,0
2001,421896,Academia Serrant Inc,1,Ponce,135,0,0,0
2001,421896,Academia Serrant Inc,2,Sabana Grande,135,0,0,0
2001,421896,Academia Serrant Inc,3,Aibonito,135,0,0,0
2002,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,158,0,0,0
2002,222178,Abilene Christian University,1,ACU-Abilene,4668,0,0,0
2002,421896,Academia Serrant Inc,1,Ponce,129,0,0,0
2003,222178,Abilene Christian University,1,ACU-Abilene,4648,0,0,0
2004,222178,Abilene Christian University,1,ACU-Abilene,4761,0,0,0
2005,177834,A T Still University of Health Sciences,1,Missouri Campus,2130,0,0,0
2005,222178,Abilene Christian University,1,ACU-Abilene,4685,0,0,0
2006,177834,A T Still University of Health Sciences,1,Missouri Campus,2459,0,0,0
2006,222178,Abilene Christian University,1,ACU-Abilene,4777,0,0,0
2007,177834,A T Still University of Health Sciences,1,Missouri Campus,2880,0,0,0
2007,222178,Abilene Christian University,1,ACU-Abilene,4675,0,0,0
2008,177834,A T Still University of Health Sciences,1,Missouri Campus,3480,0,0,0
2008,222178,Abilene Christian University,1,ACU-Abilene,4669,0,0,0
2009,177834,A T Still University of Health Sciences,1,Missouri Campus,3702,0,0,0
2009,177834,A T Still University of Health Sciences,2,Arizona Campus,3702,0,0,0
2009,222178,Abilene Christian University,1,ACU-Abilene,4813,0,0,0
2009,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3327,0,0,0
2010,177834,A T Still University of Health Sciences,1,Missouri Campus,3632,0,0,0
2010,177834,A T Still University of Health Sciences,2,Arizona Campus,3632,0,0,0
2010,222178,Abilene Christian University,1,ACU-Abilene,4728,0,0,0
2010,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3284,0,0,0
2011,177834,A T Still University of Health Sciences,1,Missouri Campus,3293,0,0,0
2011,177834,A T Still University of Health Sciences,2,Arizona Campus,3293,0,0,0
