Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,177834,A T Still University of Health Sciences,1,Missouri Campus,1140,0,0,0
2001,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,170,0,0,0
2001,222178,Abilene Christian University,1,ACU-Abilene,4673,0,0,0
2001,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,2855,0,0,0
2001,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,2855,0,0,0
2001,421896,Academia Serrant Inc,1,Ponce,135,0,0,0
2001,421896,Academia Serrant Inc,2,Sabana Grande,135,0,0,0
2001,421896,Academia Serrant Inc,3,Aibonito,135,0,0,0
2002,177834,A T Still University of Health Sciences,1,Missouri Campus,1287,0,0,0
2002,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,158,0,0,0
2002,222178,Abilene Christian University,1,ACU-Abilene,4668,0,0,0
2002,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3032,0,0,0
2002,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,3032,0,0,0
2002,421896,Academia Serrant Inc,1,Ponce,129,0,0,0
2002,421896,Academia Serrant Inc,2,Sabana Grande,129,0,0,0
2002,421896,Academia Serrant Inc,3,Aibonito,129,0,0,0
2003,177834,A T Still University of Health Sciences,1,Missouri Campus,1499,0,0,0
2003,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,215,0,0,0
2003,222178,Abilene Christian University,1,ACU-Abilene,4648,0,0,0
2003,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3407,0,0,0
2003,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,3407,0,0,0
2003,421896,Academia Serrant Inc,1,Ponce,150,0,0,0
2003,421896,Academia Serrant Inc,2,Sabana Grande,150,0,0,0
2003,421896,Academia Serrant Inc,3,Aibonito,150,0,0,0
2004,177834,A T Still University of Health Sciences,1,Missouri Campus,1855,0,0,0
2004,180203,Aaniiih Nakoda College,1,Aaniiih Nakoda College,257,0,0,0
2004,222178,Abilene Christian University,1,ACU-Abilene,4761,0,0,0
2004,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3362,0,0,0
2004,138558,Abraham Baldwin Agricultural College,2,ABAC on the Square in Moultrie,3362,0,0,0
2004,421896,Academia Serrant Inc,1,Ponce,192,0,0,0
