Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,123961,University of Southern California,1,University Park Campus,42453,3,1,0
2014,123961,University of Southern California,2,Health Sciences Campus,42453,0,1,0
2015,123961,University of Southern California,1,University Park Campus,43401,1,5,0
2015,123961,University of Southern California,2,Health Sciences Campus,43401,0,1,0
2016,123961,University of Southern California,1,University Park Campus,43871,3,2,0
2016,123961,University of Southern California,2,Health Sciences Campus,43871,0,0,0
2017,123961,University of Southern California,1,University Park Campus,45687,0,7,0
2017,123961,University of Southern California,2,Health Sciences Campus,45687,0,0,0
2018,123961,University of Southern California,1,University Park Campus,47310,1,4,0
2018,123961,University of Southern California,2,Health Sciences Campus,47310,0,2,0
2019,123961,University of Southern California,1,University Park Campus,48321,1,7,1
2019,123961,University of Southern California,2,Health Sciences Campus,48321,0,1,0
